RODZAJ;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ
AUTOBUS;259;267;334;215;329;358;351;568;434;307;327;445
CI¥GNIK ROLNICZY;2561;3538;4718;4032;3921;3694;3475;3175;3421;3272;3261;4 482
CI¥GNIK SAMOCHODOWY;2449;3809;4477;4103;3694;3459;3448;2627;3562;3832;3543;4 124
MOTOCYKL;3151;4251;9449;10452;10460;10293;8928;6896;5683;4756;4109;3 983
MOTOROWER;791;869;1837;2192;2772;2954;2998;2615;1967;1475;1210;1 553
NACZEPA CIÊ¯AROWA;2515;3514;4687;4259;3765;3856;4059;3338;3653;3944;3698;3 587
NACZEPA SPECJALNA;10;18;11;11;6;9;9;18;2;13;4;6
PRZYCZEPA CIÊ¯AROWA;1770;1925;2577;2428;2323;2247;2293;1978;2171;2182;1959;2 015
PRZYCZ.CIÊ¯AROWA ROLNICZA;751;908;1346;1203;1428;1521;1978;1153;912;942;968;1 130
PRZYCZEPA LEKKA;3523;3658;6560;6739;7300;6258;5066;4481;4262;4019;3837;3 412
PRZYCZEPA SPECJALNA;730;782;1154;1341;1338;1383;1133;821;743;661;734;618
SAMOCHODOWY INNY;424;447;580;607;638;571;558;453;486;412;447;471
SAMOCHÓD CIÊ¯AROWY;11889;13559;17525;15231;15310;16057;12240;12228;13099;12917;13255;15 112
SAMOCHÓD OSOBOWY;91494;102358;131768;114125;116253;122156;115553;106037;108233;104131;99049;99 926
SAMOCHÓD SPECJALNY;585;705;1034;1040;945;1104;929;723;721;704;851;991
KOLEJKA TURYSTYCZNA;;;1;;3;;;;3;1;;
TROLEJBUS;;;;10;;;;;;;;
